Manufacturer,ASIN,Description,Product Description
,,,
,B084JGJ8PF,"  30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.   ",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,B01NBTOX54,  Long lasting    It is durable    It is durable    Material: nylon-mesh    In-box contents: 1 gym bag   ,
3 December 2018,Uber Fashion Merchandise Pvt. Ltd.,  Drawstring Closure    Ergonomic Design    Lightweight    Size (Hxlxw) Cm-(45x33x10)    Grateful for the thoughtful gift   ," 
 F Gear String 13 Ltr Gym Bag (Black)  "
,,,
VIP Industries Ltd,B07HCWLV57,  Faux leather material black colored sling bag    19 centimeters height x 24 centimeters length x 10 centimeters width    Do not expose to extreme heat    Flat adjustable straps   ," 
"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
